domain,type_slug,label,schema_fields,max_pages_processed,free_plan_page_cap,paid_page_cap
ap_ar,credit_note,Credit Note,11,50,1,50 (no plan cap)
ap_ar,debit_note,Debit Note,9,50,1,50 (no plan cap)
ap_ar,invoice,Invoice,14,50,1,50 (no plan cap)
ap_ar,proforma_invoice,Proforma Invoice,11,50,1,50 (no plan cap)
ap_ar,purchase_order,Purchase Order,14,50,1,50 (no plan cap)
ap_ar,quotation,Quotation Document,4,50,1,50 (no plan cap)
ap_ar,receipt,Receipt,9,50,1,50 (no plan cap)
ap_ar,remittance_advice,Remittance Advice,12,50,1,50 (no plan cap)
ap_ar,revenue_invoice,Revenue Invoice,8,50,1,50 (no plan cap)
ap_ar,subscription_invoice,Subscription Invoice,11,50,1,50 (no plan cap)
banking,aml_report,Anti-Money Laundering Report,5,50,1,50 (no plan cap)
banking,bank_statement,Bank Statement,9,50,1,50 (no plan cap)
banking,cheque,Cheque,12,50,1,50 (no plan cap)
banking,credit_card_statement,Credit Card Statement,11,50,1,50 (no plan cap)
banking,iban_letter,IBAN Letter,13,50,1,50 (no plan cap)
banking,letter_of_credit,Letter of Credit,10,50,1,50 (no plan cap)
banking,loan_agreement,Loan Agreement,7,50,1,50 (no plan cap)
banking,standing_instruction,Standing Instruction Document,15,50,1,50 (no plan cap)
banking,statement_of_account,Statement of Account,9,50,1,50 (no plan cap)
banking,wire_transfer_confirmation,Wire Transfer Confirmation,15,50,1,50 (no plan cap)
corporate,annual_report,Annual Report,5,50,1,50 (no plan cap)
corporate,articles_of_association,Articles of Association Document,7,50,1,50 (no plan cap)
corporate,audit_report,Audit Report,10,50,1,50 (no plan cap)
corporate,beneficial_ownership,Beneficial Ownership Declaration,5,50,1,50 (no plan cap)
corporate,board_resolution,Board Resolution Document,5,50,1,50 (no plan cap)
corporate,business_registration,Business Registration Document,11,50,1,50 (no plan cap)
corporate,certificate_of_incorporation,Certificate of Incorporation,6,50,1,50 (no plan cap)
corporate,grant_proposal,Grant Proposal,5,50,1,50 (no plan cap)
corporate,marketing_material,Marketing Material for Event Platform,9,50,1,50 (no plan cap)
corporate,shareholder_agreement,Shareholder Agreement,4,50,1,50 (no plan cap)
education,academic_transcript,Academic Transcript,9,50,1,50 (no plan cap)
